tipo_grafo,n,algoritmo,tiempo_ms_promedio,tiempo_ms_std
dense,100,binary_heap,0.04568,0.012509076704537388
dense,100,bst,0.07366,0.006919754330899329
dense,100,fibonacci_heap,0.08646000000000001,0.007129375849259168
dense,200,binary_heap,0.09419999999999999,0.016832706258947186
dense,200,bst,0.1613,0.008571755946129116
dense,200,fibonacci_heap,0.17764,0.01017831027233892
dense,500,binary_heap,0.45748,0.06918668224448982
dense,500,bst,0.75592,0.11220341795150449
dense,500,fibonacci_heap,0.86,0.13007422880801559
dense,1000,binary_heap,1.21518,0.06794881897428397
dense,1000,bst,1.60916,0.11935146836130682
dense,1000,fibonacci_heap,2.08102,0.11900154200681617
dense,2000,binary_heap,3.53772,0.30677942727634155
dense,2000,bst,4.54332,0.12140087314348307
dense,2000,fibonacci_heap,6.6570800000000006,0.2862325226105513
sparse,100,binary_heap,0.02944,0.009211297411331369
sparse,100,bst,0.05416,0.014019736088814223
sparse,100,fibonacci_heap,0.11504,0.05401178575088959
sparse,200,binary_heap,0.05498000000000001,0.01500039999466681
sparse,200,bst,0.09147999999999999,0.0071257982009035326
sparse,200,fibonacci_heap,0.1882,0.007599999999999993
sparse,500,binary_heap,0.11494,0.029973788549330894
sparse,500,bst,0.20766,0.0710087881885052
sparse,500,fibonacci_heap,0.46647999999999995,0.19912260544699595
sparse,1000,binary_heap,0.16312,0.008376574478866642
sparse,1000,bst,0.2845,0.0059644781833786565
sparse,1000,fibonacci_heap,0.5736399999999999,0.010172659435958738
sparse,2000,binary_heap,0.32867999999999997,0.0031156058800817454
sparse,2000,bst,0.60754,0.004359816509900405
sparse,2000,fibonacci_heap,1.23328,0.03142772661202205
sparse,5000,binary_heap,0.9068200000000001,0.015494741043334662
sparse,5000,bst,1.6665199999999998,0.023058772734037676
sparse,5000,fibonacci_heap,3.32154,0.03025480127186422
sparse,10000,binary_heap,2.3021000000000003,0.687184585828291
sparse,10000,bst,4.2634,1.1285132498114503
sparse,10000,fibonacci_heap,8.6537,2.3156690501883035
sparse,20000,binary_heap,4.31954,0.07791240594411143
sparse,20000,bst,8.906960000000002,0.9727336238662668
sparse,20000,fibonacci_heap,16.56602,1.9305409739241488
